Code,Area,Year,Fuel,Sector,Measurement,Value
E09000016,Havering,2007,Coal,Total,Ktoe ,0.369594233
E09000017,Hillingdon,2007,Coal,Total,Ktoe ,0.229013292
E09000018,Hounslow,2007,Coal,Total,Ktoe ,0.170560187
E09000019,Islington,2007,Coal,Total,Ktoe ,0.05885586
E09000020,Kensington and Chelsea,2007,Coal,Total,Ktoe ,0.059267814
E09000021,Kingston upon Thames,2007,Coal,Total,Ktoe ,0.106561345
E09000022,Lambeth,2007,Coal,Total,Ktoe ,0.085506043
E09000023,Lewisham,2007,Coal,Total,Ktoe ,0.117808249
E09000024,Merton,2007,Coal,Total,Ktoe ,0.067034728
E09000025,Newham,2007,Coal,Total,Ktoe ,0.11766383
E09000026,Redbridge,2007,Coal,Total,Ktoe ,0.113751755
E09000027,Richmond upon Thames,2007,Coal,Total,Ktoe ,0.125774341
E09000028,Southwark,2007,Coal,Total,Ktoe ,0.086406672
E09000029,Sutton,2007,Coal,Total,Ktoe ,0.201315011
E09000030,Tower Hamlets,2007,Coal,Total,Ktoe ,0.093897587
E09000031,Waltham Forest,2007,Coal,Total,Ktoe ,0.128210533
E09000032,Wandsworth,2007,Coal,Total,Ktoe ,0.064331839
E09000033,Westminster,2007,Coal,Total,Ktoe ,0.108919479
E09000002,Barking and Dagenham,2008,Coal,Total,Ktoe ,0.275908274
E09000003,Barnet,2008,Coal,Total,Ktoe ,0.107276184
E09000004,Bexley,2008,Coal,Total,Ktoe ,0.124545186
E09000005,Brent,2008,Coal,Total,Ktoe ,0.062051335
E09000006,Bromley,2008,Coal,Total,Ktoe ,0.227954776
E09000007,Camden,2008,Coal,Total,Ktoe ,0.055899663
E09000001,City of London,2008,Coal,Total,Ktoe ,0
E09000008,Croydon,2008,Coal,Total,Ktoe ,0.228551792
E09000009,Ealing,2008,Coal,Total,Ktoe ,0.303977105
E09000010,Enfield,2008,Coal,Total,Ktoe ,0.153678195
E09000011,Greenwich,2008,Coal,Total,Ktoe ,0.103600232
E09000012,Hackney,2008,Coal,Total,Ktoe ,0.089227951
E09000013,Hammersmith and Fulham,2008,Coal,Total,Ktoe ,0.02563101
E09000014,Haringey,2008,Coal,Total,Ktoe ,0.124039063
E09000015,Harrow,2008,Coal,Total,Ktoe ,0.073284241
E09000016,Havering,2008,Coal,Total,Ktoe ,0.347066087
E09000017,Hillingdon,2008,Coal,Total,Ktoe ,0.241647008
E09000018,Hounslow,2008,Coal,Total,Ktoe ,0.160614759
E09000019,Islington,2008,Coal,Total,Ktoe ,0.055082059
E09000020,Kensington and Chelsea,2008,Coal,Total,Ktoe ,0.054664427
E09000021,Kingston upon Thames,2008,Coal,Total,Ktoe ,0.096945125
E09000022,Lambeth,2008,Coal,Total,Ktoe ,0.077156487
E09000023,Lewisham,2008,Coal,Total,Ktoe ,0.106304423
E09000024,Merton,2008,Coal,Total,Ktoe ,0.060488872
E09000025,Newham,2008,Coal,Total,Ktoe ,0.106174106
E09000026,Redbridge,2008,Coal,Total,Ktoe ,0.10303872
E09000027,Richmond upon Thames,2008,Coal,Total,Ktoe ,0.113492637
E09000028,Southwark,2008,Coal,Total,Ktoe ,0.080731929
E09000029,Sutton,2008,Coal,Total,Ktoe ,0.192313213
E09000030,Tower Hamlets,2008,Coal,Total,Ktoe ,0.089464765
E09000031,Waltham Forest,2008,Coal,Total,Ktoe ,0.115690937
E09000032,Wandsworth,2008,Coal,Total,Ktoe ,0.058049917
E09000033,Westminster,2008,Coal,Total,Ktoe ,0.103809149
E09000002,Barking and Dagenham,2009,Coal,Total,Ktoe ,0.284523377
E09000003,Barnet,2009,Coal,Total,Ktoe ,0.138597955
E09000004,Bexley,2009,Coal,Total,Ktoe ,0.150243096
E09000005,Brent,2009,Coal,Total,Ktoe ,0.080661549
E09000006,Bromley,2009,Coal,Total,Ktoe ,0.284079382
E09000007,Camden,2009,Coal,Total,Ktoe ,0.07266489
E09000001,City of London,2009,Coal,Total,Ktoe ,0
E09000008,Croydon,2009,Coal,Total,Ktoe ,0.287253692
E09000009,Ealing,2009,Coal,Total,Ktoe ,0.352027962
E09000010,Enfield,2009,Coal,Total,Ktoe ,0.196360336
E09000011,Greenwich,2009,Coal,Total,Ktoe ,0.132115287
E09000012,Hackney,2009,Coal,Total,Ktoe ,0.108319811
E09000013,Hammersmith and Fulham,2009,Coal,Total,Ktoe ,0.03331817
E09000014,Haringey,2009,Coal,Total,Ktoe ,0.133972619
E09000015,Harrow,2009,Coal,Total,Ktoe ,0.090967087
E09000016,Havering,2009,Coal,Total,Ktoe ,0.439828999
E09000017,Hillingdon,2009,Coal,Total,Ktoe ,0.301779325
E09000018,Hounslow,2009,Coal,Total,Ktoe ,0.194299747
E09000019,Islington,2009,Coal,Total,Ktoe ,0.06734148
E09000020,Kensington and Chelsea,2009,Coal,Total,Ktoe ,0.068502831
