code,qualification,crime_rate,cars_per_household,in_employment,number_of_housespace
E05000571,21.5,65.6,1,5601,"4,802"
E05000572,30.8,44.6,1.2,6052,"4,751"
E05000573,40.2,119,0.4,6580,"5,450"
E05000574,35.5,121.3,0.3,5934,"5,417"
E05000575,50.8,60.3,0.5,10684,"9,389"
E05000576,42,98.9,0.4,7655,"6,901"
E05000577,43.6,98.5,0.5,6262,"5,127"
E05000578,27.9,79.3,0.4,5386,"5,257"
E05000579,23.4,108.4,0.4,5124,"5,422"
E05000580,37.4,88.8,0.5,7314,"6,599"
E05000581,34.2,86.6,0.4,6271,"5,431"
E05000582,31.9,87.3,0.4,5276,"4,856"
E05000583,57.2,74.4,0.5,13759,"12,035"
E05000584,29.9,78.5,0.4,6098,"5,843"
E05000585,57.8,96,0.6,7619,"6,437"
E05000586,37.7,86.9,0.4,6534,"6,075"
E05000587,44.4,188.8,0.3,5055,"4,123"
E05000588,43.9,136.8,0.3,6693,"5,696"
E05000589,45,105.3,0.3,7530,"6,078"
E05000590,30.5,61.2,0.6,6265,"5,094"
E05000591,28.6,64.2,0.5,5715,"4,634"
E05000592,29.3,73,0.9,6595,"5,184"
E05000593,27.1,69,1.1,4570,"4,570"
E05000594,24.7,43.9,1.3,4871,"4,272"
E05000595,33.3,81.6,0.8,5861,"4,448"
E05000596,34.8,52.4,0.6,7587,"5,332"
E05000597,28.9,52.1,1.1,5319,"4,286"
E05000598,24.1,64.4,1.1,4914,"4,597"
E05000599,35.7,151.3,0.6,7146,"5,623"
E05000600,24.7,67.7,0.7,5608,"4,947"
E05000601,36.4,87.4,0.6,6453,"5,509"
E05000602,21.6,61.8,1.1,5104,"4,547"
E05000603,26.6,98.4,0.6,6671,"5,726"
E05000604,28.5,88.2,0.6,5956,"5,303"
E05000605,40.8,89.8,0.7,6887,"4,980"
E05000606,30.9,72.3,0.6,6044,"4,980"
E05000607,20.2,104.1,1.1,5100,"4,342"
E05000608,33.6,55.6,0.6,6291,"5,043"
E05000609,33,74,0.7,5974,"5,332"
E05000610,67.6,78,0.7,9369,"6,531"
E05000611,61.1,53.7,0.7,9077,"6,698"
E05000612,53.8,66.1,0.7,9556,"6,860"
E05000613,62.9,42.6,0.7,9292,"7,246"
E05000614,62.8,83.6,0.7,9882,"6,993"
E05000615,41,58.6,0.7,7450,"6,280"
E05000616,44.9,100.2,0.6,8095,"6,358"
E05000617,40.7,74.6,0.4,7869,"6,946"
E05000618,63,64.5,0.7,8864,"6,556"
E05000619,68.7,101.6,0.8,9397,"6,488"
E05000620,50,74.8,0.5,9607,"8,377"
E05000621,27.3,83.5,0.6,6856,"6,075"
E05000622,52.1,76.6,0.7,9696,"8,284"
E05000623,61.7,79.8,0.6,9354,"6,649"
E05000624,57.6,69.4,0.7,9716,"7,203"
E05000625,68.6,96.2,0.8,9409,"6,851"
E05000626,42.5,77.6,0.6,8038,"6,264"
E05000627,53.9,58.8,1,7925,"5,787"
E05000628,45.1,38,0.8,8595,"6,902"
E05000629,48.7,51.3,0.8,7376,"6,549"
E05000630,56.6,45.8,0.7,5233,"5,805"
E05000631,61.3,106.3,0.4,5977,"5,848"
E05000632,58,170.5,0.4,6295,"7,492"
E05000633,38.4,107.6,0.4,4085,"4,997"
E05000634,26.4,80.9,0.3,3744,"4,866"
E05000635,39.5,67.1,0.4,5533,"5,571"
E05000636,54.7,152.6,0.5,6014,"7,624"
E05000637,47.8,177.1,0.9,3947,"5,438"
E05000638,60.8,150.4,0.4,7523,"7,602"
E05000639,56.5,74.8,0.6,5384,"5,357"
E05000640,52.2,59,0.5,5243,"4,661"
E05000641,61.5,302.4,0.5,5902,"6,527"
E05000642,30.3,62.2,0.4,5088,"5,302"
E05000643,52.2,66.6,0.6,5153,"6,913"
E05000644,49.9,990,0.4,5879,"6,579"
E05000645,55.1,57.7,0.4,4531,"5,200"
E05000646,53.1,82.4,0.4,5023,"5,714"
E05000647,58.5,138.1,0.5,5388,"5,472"
E05000648,35.7,75.5,0.4,5173,"5,471"
E05000649,54.6,1212.1,0.4,6124,"7,627"
E09000001,68.4,656.4,0.4,4555,"5,530"
E09000002,20.9,82.9,0.8,74001,"71,206"
E09000003,40.3,61.6,1.1,164302,"140,062"
E09000004,21.8,50,1.2,107274,"95,114"
E09000005,33.3,77.1,0.8,144030,"113,342"
E09000006,33.1,61.2,1.2,146448,"135,460"
E09000007,50.5,124.7,0.5,105123,"102,703"
E09000008,31.8,75.7,1,168680,"148,824"
E09000009,37,75.6,0.9,161259,"128,248"
E09000010,28.7,70.6,1,133872,"122,421"
E09000011,33.2,74.4,0.8,115561,"103,827"
E09000012,41.8,101.1,0.4,116980,"104,356"
E09000013,49.6,106.2,0.5,97453,"84,214"
E09000014,40.8,83.8,0.6,121835,"106,099"
E09000015,36.8,50.3,1.2,110158,"86,667"
E09000016,19.4,62.5,1.2,109624,"99,290"
E09000017,28,67.2,1.2,127046,"103,990"
E09000018,34.6,75,1,124325,"97,274"
E09000019,48.1,114.1,0.4,104767,"98,196"
E09000020,52.7,115.5,0.6,77998,"87,705"
E09000021,41.4,55.7,1.1,79777,"65,693"
E09000022,46.6,104.8,0.5,164113,"134,231"
E09000023,38,78,0.7,133650,"118,617"
E09000024,41.1,57.1,0.9,102354,"81,210"
E09000025,30.1,91,0.6,131093,"103,617"
E09000026,33.9,69.5,1.1,121539,"101,575"
E09000027,53,55,1.1,95862,"82,827"
E09000028,43.1,104.5,0.5,145248,"124,167"
E09000029,30.1,53.1,1.2,94912,"79,942"
E09000030,41,99.5,0.4,119774,"106,136"
E09000031,30,83.1,0.8,118931,"98,749"
E09000032,53.6,71.6,0.7,175423,"135,897"
E09000033,50.3,238.3,0.5,107239,"120,066"
E12000007,37.7,83.3,0.8,3905206,"3,387,255"
E92000001,27.2,66.9,1.1,24425633,"24,429,618"
